Date,Summary,Keywords,Url
2016-05-29T00:00:00Z,How I became the target of a hate-filled campaign.,"['Presidential Election of 2016', 'Trump, Donald J', 'Anti-Semitism', 'Social Media', 'News and News Media']",http://www.nytimes.com/2016/05/29/opinion/sunday/the-nazi-tweets-of-trump-god-emperor.html
2016-05-28T00:00:00Z,"The limits of the presumptive Republican nominee’s managerial style, reliant on his gut and built around his unpredictable personality, are becoming apparent.","['Trump, Donald J', 'Presidential Election of 2016', 'Political Action Committees', 'Republican National Committee', 'Campaign Finance']",http://www.nytimes.com/2016/05/28/us/politics/donald-trump-campaign.html
2016-05-26T00:00:00Z,"Michael Barbaro and Megan Twohey, two members of The Times’s politics team, talk with their editor, Carolyn Ryan, about reporting on Donald Trump and his relationships with women.","['Presidential Election of 2016', 'Trump, Donald J', 'Barbaro, Michael', 'Women and Girls']",http://www.nytimes.com/2016/05/26/insider/what-its-like-to-cover-trump.html
2016-05-29T00:00:00Z,An analysis of political donation from chief executives shows broad support for Republican candidates. Except for the presumptive nominee.,"['Presidential Election of 2016', 'Campaign Finance', 'Clinton, Hillary Rodham', 'Trump, Donald J']",http://www.nytimes.com/2016/05/29/business/they-tilt-right-but-top-chief-executives-dont-give-to-trump.html
2016-05-21T00:00:00Z,Beware Trumps bearing arms.,"['Trump, Donald J', 'National Rifle Assn', 'Presidential Election of 2016', 'Gun Control']",http://www.nytimes.com/2016/05/21/opinion/meet-deadeye-donald.html
2016-04-24T00:00:00Z,"A look at Mr. Trump’s airplanes and helicopters suggests that their value rests chiefly in their marketing potential, with the candidate’s stamp of status masking an aging fleet.","['Trump, Donald J', 'Presidential Election of 2016', 'Airlines and Airplanes', 'Helicopters', 'Trump Organization']",http://www.nytimes.com/2016/04/24/us/politics/donald-trumps-aging-air-fleet-gives-his-bid-and-his-brand-a-lift.html
2016-05-15T00:00:00Z,"Interviews reveal unwelcome advances, a shrewd reliance on ambition, and unsettling workplace conduct over decades.","['Trump, Donald J', 'Women and Girls', 'Presidential Election of 2016', 'Discrimination', 'Sexual Harassment']",http://www.nytimes.com/2016/05/15/us/politics/donald-trump-women.html
2016-05-22T00:00:00Z,A survey of more than 50 of the most generous donors to Republican candidates and advocacy groups revealed contempt and distrust toward their own party’s nominee.,"['Trump, Donald J', 'Campaign Finance', 'Presidential Election of 2016', 'Republican Party']",http://www.nytimes.com/2016/05/22/us/politics/donald-trump-republican-fundraising.html
2016-05-26T00:00:00Z,"Mr. Trump, defying the norms of presidential politics and fashioning his own outrageous style, shows no use for the help of political operatives.","['Presidential Election of 2016', 'News and News Media', 'United States Politics and Government', 'Republican Party', 'Trump, Donald J', 'United States']",http://www.nytimes.com/2016/05/26/us/politics/donald-trump-presidential-race.html
2016-05-25T00:00:00Z,Stephen King and Amy Tan were two of the bigger names on a letter saying Mr. Trump was appealing to the darkest elements in American society.,"['Presidential Election of 2016', 'Writing and Writers', 'Trump, Donald J']",http://www.nytimes.com/2016/05/25/us/politics/stephen-king-writers-petition-trump.html
2016-05-29T00:00:00Z,How I became the target of a hate-filled campaign.,"['Presidential Election of 2016', 'Trump, Donald J', 'Anti-Semitism', 'Social Media', 'News and News Media']",http://www.nytimes.com/2016/05/29/opinion/sunday/the-nazi-tweets-of-trump-god-emperor.html
2016-05-28T00:00:00Z,"The limits of the presumptive Republican nominee’s managerial style, reliant on his gut and built around his unpredictable personality, are becoming apparent.","['Trump, Donald J', 'Presidential Election of 2016', 'Political Action Committees', 'Republican National Committee', 'Campaign Finance']",http://www.nytimes.com/2016/05/28/us/politics/donald-trump-campaign.html
2016-05-26T00:00:00Z,"Michael Barbaro and Megan Twohey, two members of The Times’s politics team, talk with their editor, Carolyn Ryan, about reporting on Donald Trump and his relationships with women.","['Presidential Election of 2016', 'Trump, Donald J', 'Barbaro, Michael', 'Women and Girls']",http://www.nytimes.com/2016/05/26/insider/what-its-like-to-cover-trump.html
2016-05-29T00:00:00Z,An analysis of political donation from chief executives shows broad support for Republican candidates. Except for the presumptive nominee.,"['Presidential Election of 2016', 'Campaign Finance', 'Clinton, Hillary Rodham', 'Trump, Donald J']",http://www.nytimes.com/2016/05/29/business/they-tilt-right-but-top-chief-executives-dont-give-to-trump.html
2016-05-21T00:00:00Z,Beware Trumps bearing arms.,"['Trump, Donald J', 'National Rifle Assn', 'Presidential Election of 2016', 'Gun Control']",http://www.nytimes.com/2016/05/21/opinion/meet-deadeye-donald.html
2016-04-24T00:00:00Z,"A look at Mr. Trump’s airplanes and helicopters suggests that their value rests chiefly in their marketing potential, with the candidate’s stamp of status masking an aging fleet.","['Trump, Donald J', 'Presidential Election of 2016', 'Airlines and Airplanes', 'Helicopters', 'Trump Organization']",http://www.nytimes.com/2016/04/24/us/politics/donald-trumps-aging-air-fleet-gives-his-bid-and-his-brand-a-lift.html
2016-05-15T00:00:00Z,"Interviews reveal unwelcome advances, a shrewd reliance on ambition, and unsettling workplace conduct over decades.","['Trump, Donald J', 'Women and Girls', 'Presidential Election of 2016', 'Discrimination', 'Sexual Harassment']",http://www.nytimes.com/2016/05/15/us/politics/donald-trump-women.html
2016-05-22T00:00:00Z,A survey of more than 50 of the most generous donors to Republican candidates and advocacy groups revealed contempt and distrust toward their own party’s nominee.,"['Trump, Donald J', 'Campaign Finance', 'Presidential Election of 2016', 'Republican Party']",http://www.nytimes.com/2016/05/22/us/politics/donald-trump-republican-fundraising.html
2016-05-25T00:00:00Z,Stephen King and Amy Tan were two of the bigger names on a letter saying Mr. Trump was appealing to the darkest elements in American society.,"['Presidential Election of 2016', 'Writing and Writers', 'Trump, Donald J']",http://www.nytimes.com/2016/05/25/us/politics/stephen-king-writers-petition-trump.html
2016-05-27T00:00:00Z,"Speaking in North Dakota, at the heart of America’s oil and gas boom, Mr. Trump vowed to restore coal mining jobs and “cancel” the Paris climate change accord.","['Trump, Donald J', 'Presidential Election of 2016', 'Environment', 'Energy and Power', 'Global Warming', 'Coal', 'Oil (Petroleum) and Gasoline', 'Regulation and Deregulation of Industry']",http://www.nytimes.com/2016/05/27/us/politics/donald-trump-global-warming-energy-policy.html
2016-05-29T00:00:00Z,How I became the target of a hate-filled campaign.,"['Presidential Election of 2016', 'Trump, Donald J', 'Anti-Semitism', 'Social Media', 'News and News Media']",http://www.nytimes.com/2016/05/29/opinion/sunday/the-nazi-tweets-of-trump-god-emperor.html
2016-05-28T00:00:00Z,"The limits of the presumptive Republican nominee’s managerial style, reliant on his gut and built around his unpredictable personality, are becoming apparent.","['Trump, Donald J', 'Presidential Election of 2016', 'Political Action Committees', 'Republican National Committee', 'Campaign Finance']",http://www.nytimes.com/2016/05/28/us/politics/donald-trump-campaign.html
2016-05-26T00:00:00Z,"Michael Barbaro and Megan Twohey, two members of The Times’s politics team, talk with their editor, Carolyn Ryan, about reporting on Donald Trump and his relationships with women.","['Presidential Election of 2016', 'Trump, Donald J', 'Barbaro, Michael', 'Women and Girls']",http://www.nytimes.com/2016/05/26/insider/what-its-like-to-cover-trump.html
2016-05-29T00:00:00Z,An analysis of political donation from chief executives shows broad support for Republican candidates. Except for the presumptive nominee.,"['Presidential Election of 2016', 'Campaign Finance', 'Clinton, Hillary Rodham', 'Trump, Donald J']",http://www.nytimes.com/2016/05/29/business/they-tilt-right-but-top-chief-executives-dont-give-to-trump.html
2016-05-21T00:00:00Z,Beware Trumps bearing arms.,"['Trump, Donald J', 'National Rifle Assn', 'Presidential Election of 2016', 'Gun Control']",http://www.nytimes.com/2016/05/21/opinion/meet-deadeye-donald.html
2016-04-24T00:00:00Z,"A look at Mr. Trump’s airplanes and helicopters suggests that their value rests chiefly in their marketing potential, with the candidate’s stamp of status masking an aging fleet.","['Trump, Donald J', 'Presidential Election of 2016', 'Airlines and Airplanes', 'Helicopters', 'Trump Organization']",http://www.nytimes.com/2016/04/24/us/politics/donald-trumps-aging-air-fleet-gives-his-bid-and-his-brand-a-lift.html
2016-05-15T00:00:00Z,"Interviews reveal unwelcome advances, a shrewd reliance on ambition, and unsettling workplace conduct over decades.","['Trump, Donald J', 'Women and Girls', 'Presidential Election of 2016', 'Discrimination', 'Sexual Harassment']",http://www.nytimes.com/2016/05/15/us/politics/donald-trump-women.html
2016-05-22T00:00:00Z,A survey of more than 50 of the most generous donors to Republican candidates and advocacy groups revealed contempt and distrust toward their own party’s nominee.,"['Trump, Donald J', 'Campaign Finance', 'Presidential Election of 2016', 'Republican Party']",http://www.nytimes.com/2016/05/22/us/politics/donald-trump-republican-fundraising.html
2016-05-25T00:00:00Z,Stephen King and Amy Tan were two of the bigger names on a letter saying Mr. Trump was appealing to the darkest elements in American society.,"['Presidential Election of 2016', 'Writing and Writers', 'Trump, Donald J']",http://www.nytimes.com/2016/05/25/us/politics/stephen-king-writers-petition-trump.html
2016-05-27T00:00:00Z,"Speaking in North Dakota, at the heart of America’s oil and gas boom, Mr. Trump vowed to restore coal mining jobs and “cancel” the Paris climate change accord.","['Trump, Donald J', 'Presidential Election of 2016', 'Environment', 'Energy and Power', 'Global Warming', 'Coal', 'Oil (Petroleum) and Gasoline', 'Regulation and Deregulation of Industry']",http://www.nytimes.com/2016/05/27/us/politics/donald-trump-global-warming-energy-policy.html
2016-05-29T00:00:00Z,How I became the target of a hate-filled campaign.,"['Presidential Election of 2016', 'Trump, Donald J', 'Anti-Semitism', 'Social Media', 'News and News Media']",http://www.nytimes.com/2016/05/29/opinion/sunday/the-nazi-tweets-of-trump-god-emperor.html
