Date,Summary,Keywords,Url
1937-07-11T00:00:00Z,"THE midyear report of the twenty-fifth year of theHundred Neediest Cases Fund is published on these pages today. It tells of the progress, since six months ago, of the 100 cases whose want was made known by THE NEW YORK TIMES on Dec. 6, last.","['FINGERS OF FEAR', 'NICOLSON, J U', 'LEVY , SAMUEL', 'FOOTBALL', 'BENEFIT GAMES', 'BOOKS AND LITERATURE', 'REVIEWS']",http://query.nytimes.com/gst/abstract.html?res=9A07E4DE1E30EE32A25752C1A9619C946694D6CF
2000-10-29T00:00:00Z,"Birth of a Genre Nearly a decade after its conclusion, the Persian Gulf war is already looking like a footnote to American history. Saddam Hussein still reigns, and Dick Cheney is reduced to reminding oblivious voters that he was the guy who ran the Pentagon way back then. But in the history of American entertainment, the marathon TV extravaganza that CNN forged out of the war looms as a landmark. Like ''The Birth of a Nation'' (1915), ''The Jazz Singer'' (1927) and Milton Berle's ''Texaco Star Theater'' (1948) -- the phenomena that respectively sped the rise of the feature film, the talking picture and network television -- War in the Gulf'' (as CNN decorously titled it) introduced a novel kind of audience-pleasing spectacle that just may be the most popular new cultural form in America.","['HOW TO MARRY A MILLIONAIRE (TV PROGRAM)', 'CLINTON, BILL', 'SIMPSON, O J', 'CONGER, DARVA', 'LEWINSKY, MONICA S', 'MURDERS AND ATTEMPTED MURDERS', 'TELEVISION', 'IMPEACHMENT', 'ETHICS', 'SIMPSON MURDER CASE', 'NEWS AND NEWS MEDIA']",http://www.nytimes.com/2000/10/29/magazine/the-age-of-the-mediathon.html
2006-12-05T00:00:00Z,MORNING SESSION OF A HEARING OF THE SENATE ARMED SERVICES COMMITTEE.,"['Senate Committee on Armed Services', 'Gates, Robert M']",http://www.nytimes.com/2006/12/05/washington/05text-gates1.html
1856-09-20T00:03:58Z,"A vast and enthusiastic meeting of the supporters of FREMONT and DAYTON assembled on Thursday, at Morristown, New-Jersey. Fifteen thousand freeman at least convened to vindicate the rights o labor, speech and thought. They came from the hills and valleys of that picturesque country, winding down the declivities which on all sides lead to the lovely county town, in wagons, on horseback,","['REEDER A H.', 'WILSON HENRY']",http://query.nytimes.com/gst/abstract.html?res=9C03EFD71339E134BC4851DFBF66838D649FDE
2008-02-11T11:05:00Z,,['Newspapers'],http://www.nytimes.com/2008/02/11/business/media/11asktheeditors.html
1937-07-11T00:00:00Z,"THE midyear report of the twenty-fifth year of theHundred Neediest Cases Fund is published on these pages today. It tells of the progress, since six months ago, of the 100 cases whose want was made known by THE NEW YORK TIMES on Dec. 6, last.","['FINGERS OF FEAR', 'NICOLSON, J U', 'LEVY , SAMUEL', 'FOOTBALL', 'BENEFIT GAMES', 'BOOKS AND LITERATURE', 'REVIEWS']",http://query.nytimes.com/gst/abstract.html?res=9A07E4DE1E30EE32A25752C1A9619C946694D6CF
2000-10-29T00:00:00Z,"Birth of a Genre Nearly a decade after its conclusion, the Persian Gulf war is already looking like a footnote to American history. Saddam Hussein still reigns, and Dick Cheney is reduced to reminding oblivious voters that he was the guy who ran the Pentagon way back then. But in the history of American entertainment, the marathon TV extravaganza that CNN forged out of the war looms as a landmark. Like ''The Birth of a Nation'' (1915), ''The Jazz Singer'' (1927) and Milton Berle's ''Texaco Star Theater'' (1948) -- the phenomena that respectively sped the rise of the feature film, the talking picture and network television -- War in the Gulf'' (as CNN decorously titled it) introduced a novel kind of audience-pleasing spectacle that just may be the most popular new cultural form in America.","['HOW TO MARRY A MILLIONAIRE (TV PROGRAM)', 'CLINTON, BILL', 'SIMPSON, O J', 'CONGER, DARVA', 'LEWINSKY, MONICA S', 'MURDERS AND ATTEMPTED MURDERS', 'TELEVISION', 'IMPEACHMENT', 'ETHICS', 'SIMPSON MURDER CASE', 'NEWS AND NEWS MEDIA']",http://www.nytimes.com/2000/10/29/magazine/the-age-of-the-mediathon.html
2006-12-05T00:00:00Z,MORNING SESSION OF A HEARING OF THE SENATE ARMED SERVICES COMMITTEE.,"['Senate Committee on Armed Services', 'Gates, Robert M']",http://www.nytimes.com/2006/12/05/washington/05text-gates1.html
1856-09-20T00:03:58Z,"A vast and enthusiastic meeting of the supporters of FREMONT and DAYTON assembled on Thursday, at Morristown, New-Jersey. Fifteen thousand freeman at least convened to vindicate the rights o labor, speech and thought. They came from the hills and valleys of that picturesque country, winding down the declivities which on all sides lead to the lovely county town, in wagons, on horseback,","['REEDER A H.', 'WILSON HENRY']",http://query.nytimes.com/gst/abstract.html?res=9C03EFD71339E134BC4851DFBF66838D649FDE
2008-02-11T11:05:00Z,,['Newspapers'],http://www.nytimes.com/2008/02/11/business/media/11asktheeditors.html
