Love is the only cause of happiness, 0.25
Its nature is all-pervasive like space, 0.25
"Love is the sunlight of the mind", 0.25
"If you receive empowerment, it's about bodhicitta", 0.25
Everything comes down to bodhicitta, 0.25
"It arrises through the conjunction of various factors, but there is nothing about it that can be grasped.", 0.66
"What good does it do to brood on the past, or anticipate the future?", 0.820119048
"There is a deep sense of contement", 0.463711298
May the suffering of all beings be pacirfiied. , 0.31880823
"By means of energy, mindfulness, self-restraing, and control, let the mand of understandiing make an island that no flood can overwhelm", 0.25
"Like a beautiful flower, brighly coloured but without scient, even so useless is the well-uttered speech of one who does not act accordingly.", 0.436541973
"I mean, part of the beauty of me is that I'm very rich.", 0.15
"I like thinking big. If you're going to be thinking anything, you might as well think big.", 0.12
"Tiny children are not horses", 0.11
"I think I'm a nice person. People know me. They like me.", 0.08
"As a dweller in the mountains looks down on those who live in the valley, so the spiritually mature person, the hero free from sorrow, having driven out unmindfulness by means of mindfulness, ascends to the Palace of Wisdom and looks down at the sorrowful, spiritually immature multitude (below).",0.75
"Mindful among the unmindful, wide awake among the sleeping, the man of good understanding forges ahead like a swift horse outdistancing a feeble hack.",0.75
The almsman who delights in mindfulness (and) who regards unmindfulness with fear is not liable to regression. He is in the presence of Nirvana.,0.75
"As a fletcher straightens the arrow, so the man of understanding makes straight the trembling unsteady mind, which is difficult to guard (and) difficult to restrain.",0.66
"As a fish threshes from side to side when taken from one abode to another and cast on dry land, so the mind throbs and vibrates (with the strain) as it abandons the domain of Mara.",0.66
"(The mind) is frivolous and difficult to control, alighting on whatever it pleases. It is good to tame the mind. A tamed mind brings happiness.",0.66
"The mind is extremely subtle and difficult to grasp, alighting on whatever it pleases. Let the man of understanding keep watch over the mind. A guarded mind brings happiness",0.768928571
"Far-ranging and lone-faring is the mind, incorporeal and abiding in the cave (of the heart). Those who bring it under control are freed from the bonds of Mara.",0.508993507
"His wisdom does not attain to perfection whose mind is unsettled, who is ignorant of the Real Truth (saddhamma), and whose faith wavers.",0.499937065
"There is no fear for someone who is awake, whose mind is uncontaminated by craving, (and) unperplexed, (and) who has given up vice and virtue.",0.490880623
"Perceiving the body to be (fragile) like a clay pot, (and) fortifying the mind as though it were a city, with the sword of wisdom make war on Mara. Free from attachment, keep watch over what has been won.",0.481824181
"Before long, this body, devoid of consciousness, will lie rejected on the ground like a useless faggot.",0.47276774
"Whatever foe may do to foe, or hater to hater, greater is the harm done (to oneself) by a wrongly directed mind.",0.463711298
"Neither mother nor father, nor any other relative, can do one as much good as a perfectly directed mind.",0.454654856
"One should pay no heed to the faults of others, what they have done and not done. Rather should one consider the things that one has oneself done and not done.",0.445598414
Love is the sunlight of the mind,0.25
"If you receive empowerment, it's about bodhicitta",0.25
"If you receive teachings, it's about bodhicitta",0.25
"If you practice teachings, it's about bodhicitta",0.25
Everything comes down to bodhicitta,0.25
The essence of practices is about bodhicitta,0.25
"When you sit down to do your practice, what you practice is bodhicitta.",0.75
Attachment is the main thing that is blocking your path towards enlightenment,0.75
The only cause of happiness is love.,0.75
The only cause of suffering is self-grasping.,0.75
"When a rainbow appeads vividely in the sky, you can see its beautiful colors, yet you could not wear as clothing or put it on as an ornament.",0.66
"It arises through the conjunction of various factors, but there is nothig about it that can be grasped.",0.66
"Likewise, thoughts that arise in the mind have no tangible existence or intrinsic solidity.",0.66
"There is no logical reason why thoughts, which have no substance, should have so much power over you, nor is there any reason why you should become their slave.",0.768928571
Do not encumber your mind with useless thoughts.,0.79452381
"What good does it do to brood on the past, or anticipate the future?",0.820119048
Remain in the simplicity of the present moment.,0.845714286
"It is our mid, and that alone, that chains us or sets us free.",0.871309524
"Once you overcome the hatred within your own mind, you will discover that in the world outside, there is no loner any such thing as even a single enemy.",0.896904762
"If we allow our thoughts to arise and dissolve by themselves, they will pass through our mind as a bird flies through the sky, without leaving a trace.",0.9225
"Obstacles can arise from good as well as bad circumstances, but they should never deter or overpower you.",0.948095238
"Be like the earth, which supports all living creatures indiscriminately, without distinguishing good from bad.",0.973690476
The earth is simply there.,0.999285714
"Your practice should be strengthened by the difficult situations you encounter, just as a bonfire in a strong wind is not blown out, but blazes even brighter.",0.25
"On the day that you were born, you began to die.",0.25
Do not waste a single moment more!,0.25
"Day by day, be content with whatever you have and satisfied with whatever happens. ",0.25
Everything else will then fall naturally into place.,0.25
To expect happiness without giving up negative action is like holding your hand in a fire and hoping not to be burned.,0.25
"Of course, no one actually wants to suffer, to be sick, to be cold or hungry - but as long as we continue to indulge in wrong-doing, we will never put an end to suffering.",0.25
"Likewise, we will never achieve happiness, except through positive deeds, words, and thoughts.",0.25
"Postive action is something we have to cultivte ourselves; it can be neither bought nor stolen, and no one ever stumbles on it just by chance.",0.75
A beautiful county is a dream-like illusion.,0.75
It is senseless to cling to it.,0.75
Out of their evil understanding the spiritually immature (balas) abandon themselves to unmindfulness. The man of understanding guards mindfulness as his chief treasure.,0.25
"Do not abandon yourselves to unmindfulness; have no intimacy with sensuous delights. The mindful person, absorbed in superconscious states, gains ample bliss.",0.75
"As a dweller in the mountains looks down on those who live in the valley, so the spiritually mature person, the hero free from sorrow, having driven out unmindfulness by means of mindfulness, ascends to the Palace of Wisdom and looks down at the sorrowful, spiritually immature multitude (below).",0.75
"Mindful among the unmindful, wide awake among the sleeping, the man of good understanding forges ahead like a swift horse outdistancing a feeble hack.",0.75
